review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
"It was a good and quick service but. Tbh, it was a good and quick service but I did have to change another tyre whilst I was at the approved garage which actually turned out to be a little cheaper. Can’t help wondering if I’d haven’t gotten a better deal overall dealing with the garage direct. For convenience and ease though [REDACTED] is good.","['value for money positive', 'value for money negative']","9, 8","(9,)","['value for money positive', 'value for money negative']",['value for money positive']
Easy ordering and knowledgable helpful customer service team and great prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Very good price, excellent fitting service in Bletchley","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
The service i received from the garage that fitted my tyres was outstanding.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Good prices, easy to use website",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
The tyres were fitted by the garage at an incorrect tyre pressure. The next day my warning lights came on and I had to resolve the issue whilst on a long journey with my family.,['delivery punctuality negative'],1,(),['delivery punctuality negative'],[]
"Easy to use website, good pricing and well organised ordering / fitting arrangements.","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Great service with practical solutions and a good choice of fitters in my local area,['location positive'],7,"(7,)",['location positive'],['location positive']
Very good price and service easy and straightforward,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent service and the fitter was very good.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
The tyres were the best value around after comparing prices the texts and emails kept me informed of the date and time of fitting at my local [REDACTED] dealer.,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Think I had a good deal ... Well organised and fitted locally - went well. Great system to buy tyres from your armchair,"['location positive', 'value for money positive', 'ease of booking positive']","7, 9, 3","(7, 9)","['location positive', 'value for money positive', 'ease of booking positive']","['location positive', 'value for money positive']"
because it saved money and was simple to do,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
The two guys were in early for my appointment and did the job in a super quick time. They even had advice worth noting for later in the tyres life.,"['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
"Hard to beat. Wide selection of tyres, easy ordering process, good prices",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Low price compare with the competitors.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
